,annual mean wage,annual mean wage,annual mean wage,annual mean wage,annual mean wage,annual median wage,annual median wage,annual median wage,annual median wage,annual median wage,employment,employment,employment,employment,employment,location quotient,location quotient,location quotient,location quotient,location quotient
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
occupation,,,,,,,,,,,,,,,,,,,,
Actuaries (15-2011),2,128460.0,9899.494936611665,121460,135460,2,117925.0,16171.532085736342,106490,129360,2,300.0,70.71067811865476,250,350,2,1.2450000047683716,0.2333451838435946,1.0800000429153442,1.409999966621399
Computer Network Architects (15-1241),5,122974.0,16641.139684528825,107310,147970,5,120964.0,22882.479760725237,102830,156560,5,1072.0,941.419141509243,40,2010,5,0.8299999743700027,0.41400481020827073,0.20999999344348907,1.2999999523162842
Computer Network Support Specialists (15-1231),5,74426.0,7611.230518122546,63870,82310,5,67812.0,7737.707670880311,58000,76160,5,1106.0,964.2510046663161,80,2080,5,1.0820000052452088,0.4458923624073498,0.5199999809265137,1.649999976158142
"Computer Occupations, All Other (15-1299)",5,101550.0,13128.427171599802,86370,113040,5,96820.0,14040.6801829541,80330,108450,5,2528.0,2836.497840647865,380,7330,5,1.100000023841858,0.6313477875912233,0.5099999904632568,1.9500000476837158
Computer Programmers (15-1251),3,99073.33333333333,5280.400868620992,94810,104980,3,99170.0,1954.7122550390889,96920,100450,3,676.6666666666666,145.7166199626293,540,830,3,0.8133333325386047,0.16563013016055225,0.6399999856948853,0.9700000286102295
Computer Systems Analysts (15-1211),5,97624.0,11488.343222588714,84640,111870,5,92040.0,12313.33220537804,77760,105080,5,3100.0,2975.264694107064,100,7100,5,0.7860000044107437,0.47721065408045565,0.20000000298023224,1.4700000286102295
Computer User Support Specialists (15-1232),5,61042.0,5033.882199654656,53890,66570,5,56944.0,4106.735930151828,51630,61050,5,4314.0,3647.8390863633226,320,7470,5,0.9059999942779541,0.2802320473465025,0.44999998807907104,1.149999976158142
Computer and Information Research Scientists (15-1221),3,136656.66666666666,17505.188754575986,124370,156700,3,122930.0,17422.64905231119,109660,142660,3,156.66666666666666,81.44527815247078,100,250,3,0.4633333384990692,0.2311565248997355,0.3199999928474426,0.7300000190734863
Data Scientists (15-2051),5,101746.0,15039.781580860807,82960,116600,5,94870.0,14948.747439166937,77190,109990,5,1210.0,1090.206402476155,50,2640,5,0.7479999780654907,0.38964083731598553,0.1899999976158142,1.1699999570846558
Database Administrators (15-1242),5,99114.0,17440.350627209304,76440,116090,5,97330.0,25542.950103697887,63100,124560,5,382.0,302.27470949452584,30,670,5,0.965999984741211,0.3929758118376032,0.44999998807907104,1.5499999523162842
Database Architects (15-1243),4,128112.5,20754.80245629912,102800,149480,4,124535.0,19103.463036842302,99000,143540,4,342.5,281.82441342083905,30,710,4,0.7374999970197678,0.3450966175615049,0.4399999976158142,1.2300000190734863
Information Security Analysts (15-1212),5,110824.0,16052.36991848867,89480,128530,5,108698.0,15614.084026929022,91060,129440,5,1228.0,1093.9698350503088,40,2460,5,0.910000005364418,0.4368638249019915,0.20999999344348907,1.3899999856948853
Network and Computer Systems Administrators (15-1244),5,89944.0,10413.84559132696,75170,102210,5,86160.0,12231.244826263597,69890,101560,5,2434.0,2175.9779410646606,110,4720,5,1.1219999969005585,0.49368006763159056,0.3499999940395355,1.6100000143051147
Operations Research Analysts (15-2031),4,78825.0,9946.759941475078,64880,87730,4,70602.5,8659.543386730427,62830,79940,4,945.0,781.1316577035312,30,1940,4,1.0624999850988388,0.6167860084463915,0.44999998807907104,1.9199999570846558
Software Developers (15-1252),5,122796.0,11193.256005291756,110170,133630,5,118428.0,15447.108790967972,101020,130450,5,7650.0,6842.517811449233,230,14230,5,0.610000005364418,0.32132538742598454,0.14000000059604645,0.9100000262260437
Software Quality Assurance Analysts and Testers (15-1253),4,97217.5,10938.922478928169,81120,104970,4,93307.5,12499.595660127037,75520,104250,4,1325.0,879.4884877018005,70,1940,4,0.9150000065565109,0.27730848200250635,0.550000011920929,1.149999976158142
Statisticians (15-2041),2,119470.0,2460.7315985291852,117730,121210,2,110900.0,7396.336931211287,105670,116130,2,90.0,28.284271247461902,70,110,2,0.3399999886751175,0.1131370824610367,0.25999999046325684,0.41999998688697815
Web Developers (15-1254),4,92252.5,8830.25622504806,85840,105300,4,87535.0,12709.939679898825,78910,106360,4,410.0,265.8320271650252,30,650,4,0.7950000017881393,0.1629928350404824,0.6299999952316284,1.0099999904632568
Web and Digital Interface Designers (15-1255),3,72906.66666666667,18638.46917891417,51400,84360,3,66430.0,16118.18538173575,47850,76660,3,643.3333333333334,600.0277771348034,40,1240,3,0.750000019868215,0.4222558666869668,0.3799999952316284,1.2100000381469727
